text,aspect_term,polarity
Check out the secret back room.,secret back room,positive
It's also attached to Angel's Share[comma] which is a cool[comma] more romantic bar...,bar,positive
Authentic food and they have REAL service[comma] not just the rush you get sometimes when they try to push you out the door.,food,positive
Authentic food and they have REAL service[comma] not just the rush you get sometimes when they try to push you out the door.,service,positive
Stick to the gulab jamun.,gulab jamun,positive
I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices[comma] great atmosphere[comma] good service and a wonderful wine list.,prices,positive
I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices[comma] great atmosphere[comma] good service and a wonderful wine list.,atmosphere,positive
I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices[comma] great atmosphere[comma] good service and a wonderful wine list.,service,positive
I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices[comma] great atmosphere[comma] good service and a wonderful wine list.,wine list,positive
I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.,diner,neutral
I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.,wait staff,negative
I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.,table,negative
With the theater 2 blocks away we had a delicious meal in a beautiful room.,meal,positive
With the theater 2 blocks away we had a delicious meal in a beautiful room.,room,positive
We've only eaten in the restaurant once[comma] but we have ordered many times for dinner.,dinner,neutral
By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.,pig feet ginger simmered in black vinegar,positive
By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.,desserts with frog jelly,positive
The food is great and reasonably priced.,food,positive
The food is great and reasonably priced.,priced,positive
I would definitely recommend SEA if you like thai cuisine!,thai cuisine,positive
Over the years the host[comma] Vittorio[comma] and his crew[comma] have always treated me as family--although with all the business this not-so-little gem does[comma] it amazing he's even able to remember a consistent but not-so-frequent visitor.,crew,positive
Over the years the host[comma] Vittorio[comma] and his crew[comma] have always treated me as family--although with all the business this not-so-little gem does[comma] it amazing he's even able to remember a consistent but not-so-frequent visitor.,host,positive
The restuarant itself is not large[comma] but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic Taiwanese.,round tables,positive
The restuarant itself is not large[comma] but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic Taiwanese.,Taiwanese,positive
My husband said he could've eaten several more[comma] the portion was fine for me he even exclaimed that the french fries were the best he has had.,french fries,positive
It is the type of place to run into old friends and have a late[comma] raucus dinner.,dinner,positive
The food is delicious - from the specials to the regular menu-fare[comma] the dishes are never a disappointment.,food,positive
The food is delicious - from the specials to the regular menu-fare[comma] the dishes are never a disappointment.,dishes,positive
The food is delicious - from the specials to the regular menu-fare[comma] the dishes are never a disappointment.,specials,positive
The food is delicious - from the specials to the regular menu-fare[comma] the dishes are never a disappointment.,regular menu-fare,positive
Prices are in line.,Prices,neutral
The combination of fresh tomato sauce[comma] fresh mozz cheese[comma] basil and the dough they make with imported flour[comma] makes this is one of the better pizza's in NY.,fresh tomato sauce,positive
The combination of fresh tomato sauce[comma] fresh mozz cheese[comma] basil and the dough they make with imported flour[comma] makes this is one of the better pizza's in NY.,fresh mozz cheese,positive
The combination of fresh tomato sauce[comma] fresh mozz cheese[comma] basil and the dough they make with imported flour[comma] makes this is one of the better pizza's in NY.,basil,positive
The combination of fresh tomato sauce[comma] fresh mozz cheese[comma] basil and the dough they make with imported flour[comma] makes this is one of the better pizza's in NY.,dough,positive
The combination of fresh tomato sauce[comma] fresh mozz cheese[comma] basil and the dough they make with imported flour[comma] makes this is one of the better pizza's in NY.,pizza,positive
The combination of fresh tomato sauce[comma] fresh mozz cheese[comma] basil and the dough they make with imported flour[comma] makes this is one of the better pizza's in NY.,flour,positive
The food is prepared quickly and efficiently.,food,positive
For all of you new to Indian food[comma] try the Paneer Roll[comma] it is a piece of heaven.,Indian food,positive
For all of you new to Indian food[comma] try the Paneer Roll[comma] it is a piece of heaven.,Paneer Roll,positive
The food looked very appetizing and delicious since it came on a variety of fancy plates.,food,positive
The food looked very appetizing and delicious since it came on a variety of fancy plates.,plates,positive
Both the fresh mozzerella slices and the Plain Cheese slice are phenomenal.,fresh mozzerella slices,positive
Both the fresh mozzerella slices and the Plain Cheese slice are phenomenal.,Plain Cheese slice,positive
The food is terrible and overall[comma] I would have to say avoid at all costs.,food,negative
Unfortunately[comma] the food was NOT something to get worked up about.,food,negative
It's constantly open[comma] catering to the Pakistani cabbies lined up on Crosby St.[comma] so there's more turnover with the food than you'd expect (i.e.[comma] surprisingly fresh).,food,positive
I had Filet Mignon with garlic mash.,Filet Mignon with garlic mash,neutral
I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre[comma] steak frites[comma] creme brulee) and it was marvelous.,pre-theater menu,positive
I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre[comma] steak frites[comma] creme brulee) and it was marvelous.,roasted tomato soup with chevre,positive
I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre[comma] steak frites[comma] creme brulee) and it was marvelous.,steak frites,positive
I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre[comma] steak frites[comma] creme brulee) and it was marvelous.,creme brulee,positive
The waitstaff were attentive[comma] polite and helpful - an impressive feat in such close quarters.,waitstaff,positive
- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes[comma] however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top[comma] like a salad.,bread,positive
- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes[comma] however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top[comma] like a salad.,pizza,positive
- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes[comma] however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top[comma] like a salad.,margarite pizza with cold prosciutto and baby arugula on top,neutral
- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes[comma] however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top[comma] like a salad.,salad,neutral
- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes[comma] however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top[comma] like a salad.,Peter's Favourite pizza with prosciutto and baby arugula,neutral
The large selection of bruschettas[comma] paninis[comma] tramezzinis keep the palate from stagnating.,bruschettas,positive
The large selection of bruschettas[comma] paninis[comma] tramezzinis keep the palate from stagnating.,paninis,positive
The large selection of bruschettas[comma] paninis[comma] tramezzinis keep the palate from stagnating.,tramezzinis,positive
Have always found that the waiters will go out of their way to be helpful[comma] despite the fact they are often busy with lots of diners.,waiters,positive
Have always found that the waiters will go out of their way to be helpful[comma] despite the fact they are often busy with lots of diners.,diners,neutral
While this isn't classical restaurant fare[comma] the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.,chef,positive
While this isn't classical restaurant fare[comma] the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.,dishes,positive
While this isn't classical restaurant fare[comma] the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.,cuisine,neutral
While this isn't classical restaurant fare[comma] the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.,Indian,positive
The owner truly caters to all your needs.,owner,positive
He takes real pride in his food and his business.,food,positive
So if you want a nice[comma] enjoyable meal at Montparnasse[comma] go early for the pre-theater prix-fixe.,meal,positive
So if you want a nice[comma] enjoyable meal at Montparnasse[comma] go early for the pre-theater prix-fixe.,pre-theater prix-fixe,positive
Over the years[comma] it has always provided a pleasurable dining experience with quality food and wine.,food,positive
Over the years[comma] it has always provided a pleasurable dining experience with quality food and wine.,wine,positive
Over the years[comma] it has always provided a pleasurable dining experience with quality food and wine.,dining,positive
The photobook menu was a cute touch[comma] certainly helped my group and I pick the fried chicken[comma] pork chop[comma] and noodle dishes that we all ordered.,menu,positive
The photobook menu was a cute touch[comma] certainly helped my group and I pick the fried chicken[comma] pork chop[comma] and noodle dishes that we all ordered.,fried chicken,neutral
The photobook menu was a cute touch[comma] certainly helped my group and I pick the fried chicken[comma] pork chop[comma] and noodle dishes that we all ordered.,pork chop,neutral
The photobook menu was a cute touch[comma] certainly helped my group and I pick the fried chicken[comma] pork chop[comma] and noodle dishes that we all ordered.,noodle dishes,neutral
I cannot imagine better Indian food in all of the city.,Indian food,positive
Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).,privacy,positive
Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).,corner booth table,positive
Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).,place,positive
I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,manager,negative
I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,open faced cheese sandwich,neutral
very good breads as well.,breads,positive
if this happens[comma] just ask for real naan.,naan,neutral
We were fans of the half-price Saturday night option until some inedible squid during a recent visit.,squid,negative
We were fans of the half-price Saturday night option until some inedible squid during a recent visit.,half-price Saturday night option,positive
Pizza is terrific[comma] as is homemade pasta.,Pizza,positive
Pizza is terrific[comma] as is homemade pasta.,homemade pasta,positive
This is a wonderful place on all stand points especially value ofr money.,value ofr money,positive
Example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.,soup,positive
Example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.,mushrooms,positive
There are other people waiting!,waiting,negative
From beginning appetizers[comma] the scallops were incredible[comma] to the delicious chocolate souffle with rasberry mint sorbet[comma] we were delighted by the taste sensations.,beginning appetizers,positive
From beginning appetizers[comma] the scallops were incredible[comma] to the delicious chocolate souffle with rasberry mint sorbet[comma] we were delighted by the taste sensations.,scallops,positive
From beginning appetizers[comma] the scallops were incredible[comma] to the delicious chocolate souffle with rasberry mint sorbet[comma] we were delighted by the taste sensations.,chocolate souffle with rasberry mint sorbet,positive
From beginning appetizers[comma] the scallops were incredible[comma] to the delicious chocolate souffle with rasberry mint sorbet[comma] we were delighted by the taste sensations.,taste,positive
Consistently good Japanese Tapas.,Japanese Tapas,positive
My goodness[comma] everything from the fish to the rice to the seaweed was absolutely amazing.,fish,positive
My goodness[comma] everything from the fish to the rice to the seaweed was absolutely amazing.,rice,positive
My goodness[comma] everything from the fish to the rice to the seaweed was absolutely amazing.,seaweed,positive
The dishes offered were unique[comma] very tasty and fresh from the lamb sausages[comma] sardines with biscuits[comma] large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).,dishes,positive
The dishes offered were unique[comma] very tasty and fresh from the lamb sausages[comma] sardines with biscuits[comma] large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).,lamb sausages,positive
The dishes offered were unique[comma] very tasty and fresh from the lamb sausages[comma] sardines with biscuits[comma] large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).,sardines with biscuits,positive
The dishes offered were unique[comma] very tasty and fresh from the lamb sausages[comma] sardines with biscuits[comma] large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).,large whole shrimp,positive
The dishes offered were unique[comma] very tasty and fresh from the lamb sausages[comma] sardines with biscuits[comma] large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).,pistachio ice cream,positive
The food is reliable and the price is moderate.,food,positive
The food is reliable and the price is moderate.,price,neutral
While the ambiance and atmosphere were great[comma] the food and service could have been a lot better.,ambiance,positive
While the ambiance and atmosphere were great[comma] the food and service could have been a lot better.,atmosphere,positive
While the ambiance and atmosphere were great[comma] the food and service could have been a lot better.,food,negative
While the ambiance and atmosphere were great[comma] the food and service could have been a lot better.,service,negative
The server was really cool and served us our food and drinks with a smile.,server,positive
The server was really cool and served us our food and drinks with a smile.,food,neutral
The server was really cool and served us our food and drinks with a smile.,drinks,neutral
The server was really cool and served us our food and drinks with a smile.,served,positive
We were in search of food and stumbled on this block of Indian restaurants on East Sixth Street.,food,neutral
Planet Thailand has always been a hit with me [comma] I go there usually for the sushi[comma] which is great [comma] the thai food is excellent too .,sushi,positive
Planet Thailand has always been a hit with me [comma] I go there usually for the sushi[comma] which is great [comma] the thai food is excellent too .,thai food,positive
Very excited to hear that short-term Chef Jason Narone has moved on[comma] he truly was a low point of their Sterling track record.,Chef,negative
I had to share my table with a loud group of kids and the service was rude an unattentive.,service,negative
I had to share my table with a loud group of kids and the service was rude an unattentive.,table,negative
The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,garlic,positive
The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,fresh tomatoes,positive
The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,sauce on the pizza,positive
We recently decided to try this location[comma] and to our delight[comma] they have outdoor seating[comma] perfect since I had my yorkie with me.,outdoor seating,positive
My husband had the mesclun[comma] salmon[comma] and ice cream and he enjoyed all 3 courses.,mesclun,positive
My husband had the mesclun[comma] salmon[comma] and ice cream and he enjoyed all 3 courses.,salmon,positive
My husband had the mesclun[comma] salmon[comma] and ice cream and he enjoyed all 3 courses.,ice cream,positive
My husband had the mesclun[comma] salmon[comma] and ice cream and he enjoyed all 3 courses.,courses,positive
We were told that the wait was about twenty minutes and there would be no problem for our 8:00 pm curtain call.,wait,neutral
The food is usually good but it certainly isn't a relaxing place to go.,food,positive
The food is usually good but it certainly isn't a relaxing place to go.,place,negative
Super friendly and knowledgable staff[comma] fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!,staff,positive
Super friendly and knowledgable staff[comma] fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!,bistro fare,positive
Super friendly and knowledgable staff[comma] fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!,chilaquiles,positive
Super friendly and knowledgable staff[comma] fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!,jazz brunch,positive
Super friendly and knowledgable staff[comma] fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!,live jazz,positive
The prices were fantastic.,prices,positive
Still[comma] any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...,measures of liquers,positive
The table service could have been a little more attentive but as someone who also works in the service industry[comma] I understood they were busy.,service,neutral
It's not mind-blowing[comma] but to me[comma] thai food never is and never will be.,thai food,neutral
Food was very good as well[comma] considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer[comma] so that fat was more of a melt-in-your-mouth experience).,Food,positive
Food was very good as well[comma] considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer[comma] so that fat was more of a melt-in-your-mouth experience).,pork belly,negative
Food was very good as well[comma] considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer[comma] so that fat was more of a melt-in-your-mouth experience).,fat,negative
i've been to sapphire twice and both times the food was fine[comma] if not good.,food,positive
It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,tables,negative
It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,dinner,positive
It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,place,positive
I love the fact that the pizza tastes so good and is so cheap.,pizza,positive
Nicky the Nose at the bar is a treat.,bar,neutral
Service was prompt[comma] friendly and great.,Service,positive
I haven't eat a lamb chop as delicious as that[comma]the salads are really nice dressed with lemon and extra virgnin olive oil.,lamb chop,positive
I haven't eat a lamb chop as delicious as that[comma]the salads are really nice dressed with lemon and extra virgnin olive oil.,salads,positive
I haven't eat a lamb chop as delicious as that[comma]the salads are really nice dressed with lemon and extra virgnin olive oil.,lemon,positive
I haven't eat a lamb chop as delicious as that[comma]the salads are really nice dressed with lemon and extra virgnin olive oil.,extra virgnin olive oil,positive
The sushi was awful!,sushi,negative
You can get an excellent meal at most of the many Indian restaurants on nearby Lexington Avenue for the cost of one the dainty dishes here.,meal,positive
You can get an excellent meal at most of the many Indian restaurants on nearby Lexington Avenue for the cost of one the dainty dishes here.,dishes,positive
The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down[comma] it was a pleasurable experience.,Pastrami sandwich,positive
The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down[comma] it was a pleasurable experience.,beer,positive
The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down[comma] it was a pleasurable experience.,pickles,positive
The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,plain pizza,negative
The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,truffle oil,neutral
The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,wild mushroom(third generation-Fornini) pizza,positive
Late nite omelletes are not good here[comma] there is no variety!,omelletes,negative
After all that[comma] they complained to me about the small tip.,tip,negative
It's a great place to pick up a cheap lunch or dinner.,lunch,positive
It's a great place to pick up a cheap lunch or dinner.,dinner,positive
Behind this counter[comma] two men are squeezed in.,counter,negative
Whenever you need a Sushi fix[comma] Mizu will be there with quality fish and great service.,fish,positive
Whenever you need a Sushi fix[comma] Mizu will be there with quality fish and great service.,service,positive
Whenever you need a Sushi fix[comma] Mizu will be there with quality fish and great service.,Sushi fix,positive
Our waitress was sweet and accomodating[comma] not overbearing.,waitress,positive
Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,reservation sigh,neutral
Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,table,negative
I was really disappointed ant wanted to tell everyone not to go eat or even take out food from there.,food,negative
Despite a slightly limited menu[comma] everything prepared is done to perfection[comma] ultra fresh and a work of food art.,menu,negative
Despite a slightly limited menu[comma] everything prepared is done to perfection[comma] ultra fresh and a work of food art.,food art,positive
The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,outdoor atmosphere,positive
A large is $20[comma] and toppings are about $3 each.,toppings,neutral
brick oven gallery is My pick for best pizza restaurant anywhere.,pizza,positive
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,service,positive
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food,positive
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,price,positive
For many people[comma] this may not seem like Aunthentic Thai food because most places in NYC arent quite authentic.,Thai food,negative
Growing up in NY[comma] I have eaten my share of bagels.,bagels,neutral
Oh[comma] don't even let me start with how expensive the bills were!,bills,negative
The scallion pancakes and fried dumplings were nothing out of the ordinary.,scallion pancakes,neutral
The scallion pancakes and fried dumplings were nothing out of the ordinary.,fried dumplings,neutral
All the appetizers and salads were fabulous[comma] the steak was mouth watering and the pasta was delicious!!!,appetizers,positive
All the appetizers and salads were fabulous[comma] the steak was mouth watering and the pasta was delicious!!!,salads,positive
All the appetizers and salads were fabulous[comma] the steak was mouth watering and the pasta was delicious!!!,steak,positive
All the appetizers and salads were fabulous[comma] the steak was mouth watering and the pasta was delicious!!!,pasta,positive
Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated[comma] we were served dishes we hadn't ordered three times[comma] received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked)[comma] and charged $45 more than we should have been on our bill.,table,negative
Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated[comma] we were served dishes we hadn't ordered three times[comma] received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked)[comma] and charged $45 more than we should have been on our bill.,served,negative
Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated[comma] we were served dishes we hadn't ordered three times[comma] received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked)[comma] and charged $45 more than we should have been on our bill.,dishes,negative
Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated[comma] we were served dishes we hadn't ordered three times[comma] received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked)[comma] and charged $45 more than we should have been on our bill.,table,negative
Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated[comma] we were served dishes we hadn't ordered three times[comma] received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked)[comma] and charged $45 more than we should have been on our bill.,served,negative
Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated[comma] we were served dishes we hadn't ordered three times[comma] received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked)[comma] and charged $45 more than we should have been on our bill.,bill,negative
Service is top notch.,Service,positive
The food now is inconsistent.,food,negative
You can also special order any kind of dumpling[comma]etc.,dumpling,positive
I was pretty much full after our fondue appetizer.,fondue appetizer,neutral
BE CAREFUL before you request extra spice.,spice,neutral
The octopus eaters were floored by the Octopus salad.,Octopus salad,positive
We thought that this place is using too much of MSG cooking in the foods.,foods,negative
We thought that this place is using too much of MSG cooking in the foods.,MSG cooking,negative
And the Tom Kha soup was pathetic.,Tom Kha soup,negative
I started out with a Bombay beer which was big enough for two.,Bombay beer,positive
The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall[comma] which are great for a date.,decor,positive
The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall[comma] which are great for a date.,dining hall,positive
The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall[comma] which are great for a date.,semi-private boths,positive
Service was quick.,Service,positive
Drawbacks: service is slow and they don't toast!,service,negative
Went there for an office lunch.,office lunch,neutral
The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,sweet lassi,positive
The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,lamb chettinad,positive
The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,garlic naan,positive
The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,rasamalai,negative
We've been following chef Lyle's food around New York for 15 years and while remaining classic[comma] his innovations with bistro fare have made us return and return.,bistro fare,positive
We've been following chef Lyle's food around New York for 15 years and while remaining classic[comma] his innovations with bistro fare have made us return and return.,chef,positive
We've been following chef Lyle's food around New York for 15 years and while remaining classic[comma] his innovations with bistro fare have made us return and return.,food,positive
The best thing I tasted were the lambchops.,lambchops,positive
The spicy tuna and salmon are the best we've ever had.,spicy tuna,positive
The spicy tuna and salmon are the best we've ever had.,salmon,positive
Even though its good seafood[comma] the prices are too high.,seafood,positive
Even though its good seafood[comma] the prices are too high.,prices,negative
In addition[comma] the food is very good and the prices are reasonable.,food,positive
In addition[comma] the food is very good and the prices are reasonable.,prices,positive
Upon entering[comma] we were greeted by the owners[comma] Steven and Frederick[comma] who went out of their way to be more than gracious hosts.,owners,positive
Upon entering[comma] we were greeted by the owners[comma] Steven and Frederick[comma] who went out of their way to be more than gracious hosts.,hosts,positive
Been going here since it opened have seen the quality value decrease considerably.,quality value,negative
Meat dishes now adorn the selections[comma] although there's still a large number of vegetarian-friendly choices.,Meat dishes,neutral
Meat dishes now adorn the selections[comma] although there's still a large number of vegetarian-friendly choices.,vegetarian-friendly choices,positive
Reasonable prices.,prices,positive
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,amuse bouche,positive
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,dessert,positive
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,tables,positive
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,service,positive
Try the crunchy tuna[comma] it is to die for.,crunchy tuna,positive
It won't break the bank but I also wouldnt come back for the food.,food,negative
All in all[comma] this midtown gem instantly became one of my favorite sushi restaurants in the city.,sushi,positive
It is a lot of fun with live entertainment and all kinds of Disney type special effects.,live entertainment,positive
It is a lot of fun with live entertainment and all kinds of Disney type special effects.,special effects,positive
if you're looking for perfect traditional sushi[comma] go here - if you're looking for interesting combinations[comma] try sushi of gari's (east side).,sushi,positive
if you're looking for perfect traditional sushi[comma] go here - if you're looking for interesting combinations[comma] try sushi of gari's (east side).,sushi,positive
No refills on fountain drinks[comma] though.,fountain drinks,negative
Wow over 100 beers to choose from.,beers,positive
Be careful of portions - they're HUGE.,portions,positive
The Steak Tartare is a great bet[comma] they fix it for you at the table.,Steak Tartare,positive
My first time there I happened not to like the Crab Croquette apt that i ordered and they were happy to change it for me without making no big deal.,Crab Croquette apt,negative
Great for large groups and celebrations - our SUPER HAPPY waiter was the entertainment of the evening.,waiter,positive
Did I mention the wine?,wine,neutral
Plus[comma] on Wednesday nights the house wine is unlimited!,house wine,positive
like saying her bread comes from a special bakery when we have seen her buying it dowtown manhathan.,bread,negative
The dim sum servings here are a bit larger than I'm used to.,dim sum servings,neutral
However[comma] in the summer of 2003[comma] it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.,management,neutral
However[comma] in the summer of 2003[comma] it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.,door,positive
However[comma] in the summer of 2003[comma] it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.,glass front,negative
We won't go to this place again for a good meal.,meal,negative
Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed[comma] however herb mix or other sauce would have done much to enhance.,Barbecued codfish,positive
Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed[comma] however herb mix or other sauce would have done much to enhance.,seasoning,negative
Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed[comma] however herb mix or other sauce would have done much to enhance.,spice rub,negative
Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed[comma] however herb mix or other sauce would have done much to enhance.,herb mix,negative
Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed[comma] however herb mix or other sauce would have done much to enhance.,sauce,negative
After dinner[comma] take your date to the HUGE dance floor[comma] probably one of the biggest you'll see in NY.,dance floor,positive
After dinner[comma] take your date to the HUGE dance floor[comma] probably one of the biggest you'll see in NY.,dinner,neutral
Taj Mahal offeres gret value and great food.,value,positive
Taj Mahal offeres gret value and great food.,food,positive
Has the chef and owner changed???,chef,neutral
Has the chef and owner changed???,owner,neutral
My boyfriend and I recently had an early dinner at Artisanal and was satisfied with our experience.,dinner,positive
But don't ever order bacon late at nite (either platter or in sandwiches[comma] for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos[comma] hurt my molars.,bacon,negative
But don't ever order bacon late at nite (either platter or in sandwiches[comma] for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos[comma] hurt my molars.,platter,negative
But don't ever order bacon late at nite (either platter or in sandwiches[comma] for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos[comma] hurt my molars.,in sandwiches,negative
But don't ever order bacon late at nite (either platter or in sandwiches[comma] for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos[comma] hurt my molars.,frying,negative
But don't ever order bacon late at nite (either platter or in sandwiches[comma] for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos[comma] hurt my molars.,bacos,negative
